time,value,ema,is_anomaly
2022-06-17T11:13:44Z,1.41,,False
2022-06-17T11:14:31Z,19.29,,False
2022-06-17T11:14:32Z,25.71,,False
2022-06-17T11:14:34Z,26.75,,False
2022-06-17T11:14:35Z,26.24,19.880000000000003,False
2022-06-17T11:14:36Z,26.79,24.956,False
2022-06-17T11:14:37Z,37.38,28.574,False
2022-06-17T11:14:38Z,27.12,28.856,False
2022-06-17T11:14:39Z,12.02,25.910000000000004,False
2022-06-17T11:14:40Z,26.21,25.903999999999996,False
2022-06-17T11:14:41Z,30.71,26.688,False
2022-06-17T11:14:42Z,28.94,25.000000000000004,False
2022-06-17T11:14:43Z,24.91,24.558,False
2022-06-17T11:14:44Z,26.65,27.484,False
2022-06-17T11:14:45Z,34.29,29.1,False
2022-06-17T11:14:46Z,35.19,29.996,False
2022-06-17T11:14:47Z,25.84,29.375999999999998,False
2022-06-17T11:14:48Z,28.45,30.083999999999996,False
2022-06-17T11:14:49Z,29.62,30.677999999999997,False
2022-06-17T11:14:50Z,18.89,27.598000000000003,False
2022-06-17T11:14:51Z,33.68,27.296000000000003,False
2022-06-17T11:14:52Z,25.76,27.28,False
2022-06-17T11:14:53Z,20.76,25.742,False
2022-06-17T11:14:54Z,18.62,23.542,False
2022-06-17T11:14:56Z,22.66,24.296000000000003,False
2022-06-17T11:14:57Z,27.68,23.096,False
2022-06-17T11:14:58Z,35.64,25.072,False
2022-06-17T11:14:59Z,27.58,26.436,False
2022-06-17T11:15:00Z,24.4,27.592000000000002,False
2022-06-17T11:15:01Z,26.26,28.312,False
2022-06-17T11:15:02Z,31.33,29.042,False
2022-06-17T11:15:03Z,25.69,27.052,False
2022-06-17T11:15:04Z,18.96,25.328,False
2022-06-17T11:15:05Z,24.77,25.402,False
2022-06-17T11:15:06Z,21.93,24.536,False
2022-06-17T11:15:07Z,26.76,23.622000000000003,False
2022-06-17T11:15:08Z,13.96,21.276000000000003,False
2022-06-17T11:15:09Z,34.74,24.432,False
2022-06-17T11:15:10Z,26.02,24.682000000000002,False
2022-06-17T11:15:11Z,22.86,24.868000000000002,False
2022-06-17T11:15:12Z,29.21,25.358,False
2022-06-17T11:15:13Z,24.53,27.472,False
2022-06-17T11:15:14Z,27.98,26.119999999999997,False
2022-06-17T11:15:15Z,23.87,25.689999999999998,False
2022-06-17T11:15:16Z,23.49,25.815999999999995,False
2022-06-17T11:15:17Z,19.4,23.854000000000003,False
2022-06-17T11:15:18Z,25.7,24.088,False
2022-06-17T11:15:19Z,26.39,23.77,False
2022-06-17T11:15:20Z,27.67,24.529999999999998,False
2022-06-17T11:15:22Z,22.58,24.348,False
2022-06-17T11:15:23Z,22.78,25.024,False
2022-06-17T11:15:24Z,23.82,24.648000000000003,False
2022-06-17T11:15:25Z,23.51,24.072000000000003,False
2022-06-17T11:15:26Z,24.92,23.522000000000002,False
2022-06-17T11:15:27Z,22.44,23.494000000000003,False
2022-06-17T11:15:28Z,21.5,23.238000000000003,False
2022-06-17T11:15:29Z,24.43,23.36,False
2022-06-17T11:15:30Z,23.39,23.336,False
2022-06-17T11:15:31Z,17.62,21.875999999999998,False
2022-06-17T11:15:32Z,22.91,21.97,False
2022-06-17T11:15:33Z,30.17,23.704,False
2022-06-17T11:15:34Z,24.26,23.67,False
2022-06-17T11:15:35Z,23.57,23.706,False
2022-06-17T11:15:36Z,25.79,25.34,False
2022-06-17T11:15:37Z,27.8,26.318,False
2022-06-17T11:15:38Z,26.11,25.506,False
2022-06-17T11:15:39Z,21.47,24.948,False
2022-06-17T11:15:40Z,20.75,24.383999999999997,False
2022-06-17T11:15:41Z,15.57,22.34,False
2022-06-17T11:15:42Z,22.28,21.236,False
2022-06-17T11:15:43Z,23.0,20.614,False
2022-06-17T11:15:44Z,24.08,21.136000000000003,False
2022-06-17T11:15:46Z,20.81,21.148000000000003,False
2022-06-17T11:15:47Z,20.55,22.144,False
2022-06-17T11:15:48Z,20.23,21.733999999999998,False
2022-06-17T11:15:49Z,17.37,20.607999999999997,False
2022-06-17T11:15:50Z,26.34,21.06,False
2022-06-17T11:15:51Z,26.97,22.292,False
2022-06-17T11:15:52Z,24.27,23.035999999999998,False
2022-06-17T11:15:53Z,18.15,22.619999999999997,False
2022-06-17T11:15:54Z,20.61,23.268,False
2022-06-17T11:15:55Z,25.53,23.106,False
2022-06-17T11:15:56Z,15.6,20.832,False
2022-06-17T11:15:57Z,19.23,19.824,False
2022-06-17T11:15:58Z,25.19,21.232,False
2022-06-17T11:15:59Z,20.11,21.131999999999998,False
2022-06-17T11:16:00Z,21.96,20.418,False
2022-06-17T11:16:01Z,23.06,21.910000000000004,False
2022-06-17T11:16:02Z,22.03,22.47,False
2022-06-17T11:16:03Z,25.32,22.496000000000002,False
2022-06-17T11:16:04Z,23.17,23.108,False
2022-06-17T11:16:05Z,23.11,23.338,False
2022-06-17T11:16:06Z,25.15,23.756,False
2022-06-17T11:16:08Z,27.16,24.782,False
2022-06-17T11:16:09Z,21.55,24.028,False
2022-06-17T11:16:10Z,25.35,24.464,False
2022-06-17T11:16:11Z,24.89,24.82,False
2022-06-17T11:16:12Z,24.68,24.726,False
2022-06-17T11:16:13Z,24.56,24.206,False
2022-06-17T11:16:14Z,22.37,24.369999999999997,False
2022-06-17T11:16:15Z,23.28,23.956,False
2022-06-17T11:16:16Z,22.88,23.554,False
2022-06-17T11:16:17Z,23.83,23.384,False
2022-06-17T11:16:18Z,22.17,22.906,False
2022-06-17T11:16:19Z,21.79,22.79,False
2022-06-17T11:16:20Z,19.76,22.086,False
2022-06-17T11:16:21Z,24.43,22.395999999999997,False
2022-06-17T11:16:22Z,24.04,22.438,False
2022-06-17T11:16:23Z,20.88,22.18,False
2022-06-17T11:16:24Z,24.75,22.772,False
2022-06-17T11:16:25Z,28.87,24.594,False
2022-06-17T11:16:26Z,28.38,25.383999999999997,False
2022-06-17T11:16:27Z,17.68,24.112000000000002,False
2022-06-17T11:16:28Z,14.78,22.892000000000003,False
2022-06-17T11:16:30Z,19.26,21.794,False
2022-06-17T11:16:31Z,25.95,21.21,False
2022-06-17T11:16:32Z,21.79,19.892000000000003,False
2022-06-17T11:16:33Z,14.71,19.298,False
2022-06-17T11:16:34Z,29.92,22.326,False
2022-06-17T11:16:35Z,19.78,22.43,False
2022-06-17T11:16:36Z,19.39,21.118000000000002,False
2022-06-17T11:16:37Z,19.42,20.644,False
2022-06-17T11:16:38Z,24.23,22.548000000000002,False
2022-06-17T11:16:39Z,21.1,20.784000000000002,False
2022-06-17T11:16:40Z,21.92,21.212,False
2022-06-17T11:16:41Z,20.73,21.48,False
2022-06-17T11:16:42Z,18.61,21.318,False
2022-06-17T11:16:43Z,20.6,20.592000000000002,False
2022-06-17T11:16:44Z,19.85,20.342000000000002,False
2022-06-17T11:16:45Z,24.18,20.794,False
2022-06-17T11:16:46Z,22.77,21.202,False
2022-06-17T11:16:47Z,26.57,22.794,False
2022-06-17T11:16:48Z,23.0,23.274,False
2022-06-17T11:16:49Z,31.9,25.684000000000005,False
2022-06-17T11:16:50Z,25.74,25.996,False
2022-06-17T11:16:51Z,19.66,25.374000000000002,False
2022-06-17T11:16:52Z,23.69,24.798000000000002,False
2022-06-17T11:16:54Z,27.13,25.624000000000002,False
2022-06-17T11:16:55Z,23.03,23.85,False
2022-06-17T11:16:56Z,17.32,22.166000000000004,False
2022-06-17T11:16:57Z,23.72,22.978,False
2022-06-17T11:16:58Z,23.02,22.844,False
2022-06-17T11:16:59Z,28.34,23.086000000000002,False
2022-06-17T11:17:00Z,26.67,23.814,False
2022-06-17T11:17:01Z,23.12,24.974,False
2022-06-17T11:17:02Z,21.04,24.438000000000002,False
