time,value,is_anomaly
2022-06-17T11:13:44Z,1.41,False
2022-06-17T11:14:31Z,19.29,False
2022-06-17T11:14:32Z,25.71,False
2022-06-17T11:14:34Z,26.75,False
2022-06-17T11:14:35Z,26.24,False
2022-06-17T11:14:36Z,26.79,False
2022-06-17T11:14:37Z,37.38,False
2022-06-17T11:14:38Z,27.12,False
2022-06-17T11:14:39Z,12.02,False
2022-06-17T11:14:40Z,26.21,False
2022-06-17T11:14:41Z,30.71,False
2022-06-17T11:14:42Z,28.94,False
2022-06-17T11:14:43Z,24.91,False
2022-06-17T11:14:44Z,26.65,False
2022-06-17T11:14:45Z,34.29,False
2022-06-17T11:14:46Z,35.19,False
2022-06-17T11:14:47Z,25.84,False
2022-06-17T11:14:48Z,28.45,False
2022-06-17T11:14:49Z,29.62,False
2022-06-17T11:14:50Z,18.89,False
2022-06-17T11:14:51Z,33.68,False
2022-06-17T11:14:52Z,25.76,False
2022-06-17T11:14:53Z,20.76,False
2022-06-17T11:14:54Z,18.62,False
2022-06-17T11:14:56Z,22.66,False
2022-06-17T11:14:57Z,27.68,False
2022-06-17T11:14:58Z,35.64,False
2022-06-17T11:14:59Z,27.58,False
2022-06-17T11:15:00Z,24.4,False
2022-06-17T11:15:01Z,26.26,False
2022-06-17T11:15:02Z,31.33,False
2022-06-17T11:15:03Z,25.69,False
2022-06-17T11:15:04Z,18.96,False
2022-06-17T11:15:05Z,24.77,False
2022-06-17T11:15:06Z,21.93,False
2022-06-17T11:15:07Z,26.76,False
2022-06-17T11:15:08Z,13.96,False
2022-06-17T11:15:09Z,34.74,False
2022-06-17T11:15:10Z,26.02,False
2022-06-17T11:15:11Z,22.86,False
2022-06-17T11:15:12Z,29.21,False
2022-06-17T11:15:13Z,24.53,False
2022-06-17T11:15:14Z,27.98,False
2022-06-17T11:15:15Z,23.87,False
2022-06-17T11:15:16Z,23.49,False
2022-06-17T11:15:17Z,19.4,False
2022-06-17T11:15:18Z,25.7,False
2022-06-17T11:15:19Z,26.39,False
2022-06-17T11:15:20Z,27.67,False
2022-06-17T11:15:22Z,22.58,False
2022-06-17T11:15:23Z,22.78,False
2022-06-17T11:15:24Z,23.82,False
2022-06-17T11:15:25Z,23.51,False
2022-06-17T11:15:26Z,24.92,False
2022-06-17T11:15:27Z,22.44,False
2022-06-17T11:15:28Z,21.5,False
2022-06-17T11:15:29Z,24.43,False
2022-06-17T11:15:30Z,23.39,False
2022-06-17T11:15:31Z,17.62,False
2022-06-17T11:15:32Z,22.91,False
2022-06-17T11:15:33Z,30.17,False
2022-06-17T11:15:34Z,24.26,False
2022-06-17T11:15:35Z,23.57,False
2022-06-17T11:15:36Z,25.79,False
2022-06-17T11:15:37Z,27.8,False
2022-06-17T11:15:38Z,26.11,False
2022-06-17T11:15:39Z,21.47,False
2022-06-17T11:15:40Z,20.75,False
2022-06-17T11:15:41Z,15.57,False
2022-06-17T11:15:42Z,22.28,False
2022-06-17T11:15:43Z,23.0,False
2022-06-17T11:15:44Z,24.08,False
2022-06-17T11:15:46Z,20.81,False
2022-06-17T11:15:47Z,20.55,False
2022-06-17T11:15:48Z,20.23,False
2022-06-17T11:15:49Z,17.37,False
2022-06-17T11:15:50Z,26.34,False
2022-06-17T11:15:51Z,26.97,False
2022-06-17T11:15:52Z,24.27,False
2022-06-17T11:15:53Z,18.15,False
2022-06-17T11:15:54Z,20.61,False
2022-06-17T11:15:55Z,25.53,False
2022-06-17T11:15:56Z,15.6,False
2022-06-17T11:15:57Z,19.23,False
2022-06-17T11:15:58Z,25.19,False
2022-06-17T11:15:59Z,20.11,False
2022-06-17T11:16:00Z,21.96,False
2022-06-17T11:16:01Z,23.06,False
2022-06-17T11:16:02Z,22.03,False
2022-06-17T11:16:03Z,25.32,False
2022-06-17T11:16:04Z,23.17,False
2022-06-17T11:16:05Z,23.11,False
2022-06-17T11:16:06Z,25.15,False
2022-06-17T11:16:08Z,27.16,False
2022-06-17T11:16:09Z,21.55,False
2022-06-17T11:16:10Z,25.35,False
2022-06-17T11:16:11Z,24.89,False
2022-06-17T11:16:12Z,24.68,False
2022-06-17T11:16:13Z,24.56,False
2022-06-17T11:16:14Z,22.37,False
2022-06-17T11:16:15Z,23.28,False
2022-06-17T11:16:16Z,22.88,False
2022-06-17T11:16:17Z,23.83,False
2022-06-17T11:16:18Z,22.17,False
2022-06-17T11:16:19Z,21.79,False
2022-06-17T11:16:20Z,19.76,False
2022-06-17T11:16:21Z,24.43,False
2022-06-17T11:16:22Z,24.04,False
2022-06-17T11:16:23Z,20.88,False
2022-06-17T11:16:24Z,24.75,False
2022-06-17T11:16:25Z,28.87,False
2022-06-17T11:16:26Z,28.38,False
2022-06-17T11:16:27Z,17.68,False
2022-06-17T11:16:28Z,14.78,False
2022-06-17T11:16:30Z,19.26,False
2022-06-17T11:16:31Z,25.95,False
2022-06-17T11:16:32Z,21.79,False
2022-06-17T11:16:33Z,14.71,False
2022-06-17T11:16:34Z,29.92,False
2022-06-17T11:16:35Z,19.78,False
2022-06-17T11:16:36Z,19.39,False
2022-06-17T11:16:37Z,19.42,False
2022-06-17T11:16:38Z,24.23,False
2022-06-17T11:16:39Z,21.1,False
2022-06-17T11:16:40Z,21.92,False
2022-06-17T11:16:41Z,20.73,False
2022-06-17T11:16:42Z,18.61,False
2022-06-17T11:16:43Z,20.6,False
2022-06-17T11:16:44Z,19.85,False
2022-06-17T11:16:45Z,24.18,False
2022-06-17T11:16:46Z,22.77,False
2022-06-17T11:16:47Z,26.57,False
2022-06-17T11:16:48Z,23.0,False
2022-06-17T11:16:49Z,31.9,False
2022-06-17T11:16:50Z,25.74,False
2022-06-17T11:16:51Z,19.66,False
2022-06-17T11:16:52Z,23.69,False
2022-06-17T11:16:54Z,27.13,False
2022-06-17T11:16:55Z,23.03,False
2022-06-17T11:16:56Z,17.32,False
2022-06-17T11:16:57Z,23.72,False
2022-06-17T11:16:58Z,23.02,False
2022-06-17T11:16:59Z,28.34,False
2022-06-17T11:17:00Z,26.67,False
2022-06-17T11:17:01Z,23.12,False
2022-06-17T11:17:02Z,21.04,False
2022-06-17T11:17:03Z,14.47,False
2022-06-17T11:17:04Z,14.14,False
2022-06-17T11:17:05Z,29.65,False
2022-06-17T11:17:06Z,22.96,False
2022-06-17T11:17:07Z,25.69,False
2022-06-17T11:17:08Z,30.87,True
2022-06-17T11:17:09Z,16.16,False
2022-06-17T11:17:10Z,28.13,False
2022-06-17T11:17:11Z,13.58,False
2022-06-17T11:17:12Z,19.11,False
2022-06-17T11:17:13Z,25.33,False
2022-06-17T11:17:14Z,23.5,False
2022-06-17T11:17:15Z,15.43,False
2022-06-17T11:17:16Z,23.84,False
2022-06-17T11:17:18Z,17.41,False
2022-06-17T11:17:19Z,26.09,False
2022-06-17T11:17:20Z,21.77,False
2022-06-17T11:17:21Z,25.16,False
2022-06-17T11:17:22Z,21.38,False
2022-06-17T11:17:23Z,18.78,False
2022-06-17T11:17:24Z,20.23,False
2022-06-17T11:17:25Z,23.05,False
2022-06-17T11:17:26Z,17.27,False
2022-06-17T11:17:27Z,25.68,False
2022-06-17T11:17:28Z,21.99,False
2022-06-17T11:17:29Z,17.41,False
2022-06-17T11:17:30Z,25.02,False
2022-06-17T11:17:31Z,26.66,False
2022-06-17T11:17:32Z,20.34,False
2022-06-17T11:17:33Z,24.62,False
2022-06-17T11:17:34Z,22.06,False
2022-06-17T11:17:35Z,21.09,False
2022-06-17T11:17:36Z,25.32,False
2022-06-17T11:17:37Z,23.1,False
2022-06-17T11:17:38Z,21.77,False
2022-06-17T11:17:39Z,23.2,False
2022-06-17T11:17:41Z,17.8,False
